Quarter End,Real GDP,GDP shift 1q,GDP shift 1yr
1/1/1990,9364.259,9398.243,9275.276
4/1/1990,9398.243,9404.494,9347.597
7/1/1990,9404.494,9318.876,9394.834
10/1/1990,9318.876,9275.276,9427.581
1/1/1991,9275.276,9347.597,9540.444
4/1/1991,9347.597,9394.834,9643.893
7/1/1991,9394.834,9427.581,9739.185
10/1/1991,9427.581,9540.444,9840.753
1/1/1992,9540.444,9643.893,9857.185
4/1/1992,9643.893,9739.185,9914.565
7/1/1992,9739.185,9840.753,9961.873
10/1/1992,9840.753,9857.185,10097.362
1/1/1993,9857.185,9914.565,10195.338
4/1/1993,9914.565,9961.873,10333.495
7/1/1993,9961.873,10097.362,10393.898
10/1/1993,10097.362,10195.338,10512.962
1/1/1994,10195.338,10333.495,10550.251
4/1/1994,10333.495,10393.898,10581.723
7/1/1994,10393.898,10512.962,10671.738
10/1/1994,10512.962,10550.251,10744.203
1/1/1995,10550.251,10581.723,10824.674
4/1/1995,10581.723,10671.738,11005.217
7/1/1995,10671.738,10744.203,11103.935
10/1/1995,10744.203,10824.674,11219.238
1/1/1996,10824.674,11005.217,11291.665
4/1/1996,11005.217,11103.935,11479.33
7/1/1996,11103.935,11219.238,11622.911
10/1/1996,11219.238,11291.665,11722.722
1/1/1997,11291.665,11479.33,11839.876
4/1/1997,11479.33,11622.911,11949.492
7/1/1997,11622.911,11722.722,12099.191
10/1/1997,11722.722,11839.876,12294.737
1/1/1998,11839.876,11949.492,12410.778
4/1/1998,11949.492,12099.191,12514.408
7/1/1998,12099.191,12294.737,12679.977
10/1/1998,12294.737,12410.778,12888.281
1/1/1999,12410.778,12514.408,12935.252
4/1/1999,12514.408,12679.977,13170.749
7/1/1999,12679.977,12888.281,13183.89
10/1/1999,12888.281,12935.252,13262.25
1/1/2000,12935.252,13170.749,13219.251
4/1/2000,13170.749,13183.89,13301.394
7/1/2000,13183.89,13262.25,13248.142
10/1/2000,13262.25,13219.251,13284.881
1/1/2001,13219.251,13301.394,13394.91
4/1/2001,13301.394,13248.142,13477.356
7/1/2001,13248.142,13284.881,13531.741
10/1/2001,13284.881,13394.91,13549.421
1/1/2002,13394.91,13477.356,13619.434
4/1/2002,13477.356,13531.741,13741.107
7/1/2002,13531.741,13549.421,13970.157
10/1/2002,13549.421,13619.434,14131.379
1/1/2003,13619.434,13741.107,14212.34
4/1/2003,13741.107,13970.157,14323.017
7/1/2003,13970.157,14131.379,14457.832
10/1/2003,14131.379,14212.34,14605.595
1/1/2004,14212.34,14323.017,14767.846
4/1/2004,14323.017,14457.832,14839.707
7/1/2004,14457.832,14605.595,14956.291
10/1/2004,14605.595,14767.846,15041.232
1/1/2005,14767.846,14839.707,15244.088
4/1/2005,14839.707,14956.291,15281.525
7/1/2005,14956.291,15041.232,15304.517
10/1/2005,15041.232,15244.088,15433.643
1/1/2006,15244.088,15281.525,15478.956
4/1/2006,15281.525,15304.517,15577.779
7/1/2006,15304.517,15433.643,15671.605
10/1/2006,15433.643,15478.956,15767.146
1/1/2007,15478.956,15577.779,15702.906
4/1/2007,15577.779,15671.605,15792.773
7/1/2007,15671.605,15767.146,15709.562
10/1/2007,15767.146,15702.906,15366.607
1/1/2008,15702.906,15792.773,15187.475
4/1/2008,15792.773,15709.562,15161.772
7/1/2008,15709.562,15366.607,15216.647
10/1/2008,15366.607,15187.475,15379.155
1/1/2009,15187.475,15161.772,15456.059
4/1/2009,15161.772,15216.647,15605.628
7/1/2009,15216.647,15379.155,15726.282
10/1/2009,15379.155,15456.059,15807.995
1/1/2010,15456.059,15605.628,15769.911
4/1/2010,15605.628,15726.282,15876.839
7/1/2010,15726.282,15807.995,15870.684
10/1/2010,15807.995,15769.911,16048.702
1/1/2011,15769.911,15876.839,16179.968
4/1/2011,15876.839,15870.684,16253.726
7/1/2011,15870.684,16048.702,16282.151
10/1/2011,16048.702,16179.968,16300.035
1/1/2012,16179.968,16253.726,16441.485
4/1/2012,16253.726,16282.151,16464.402
7/1/2012,16282.151,16300.035,16594.743
10/1/2012,16300.035,16441.485,16712.76
1/1/2013,16441.485,16464.402,16654.247
4/1/2013,16464.402,16594.743,16868.109
7/1/2013,16594.743,16712.76,17064.616
10/1/2013,16712.76,16654.247,17141.235
1/1/2014,16654.247,16868.109,17280.647
4/1/2014,16868.109,17064.616,17380.875
7/1/2014,17064.616,17141.235,17437.08
10/1/2014,17141.235,17280.647,17462.579
1/1/2015,17280.647,17380.875,17565.465
4/1/2015,17380.875,17437.08,17618.581
7/1/2015,17437.08,17462.579,17724.489
10/1/2015,17462.579,17565.465,17812.56
1/1/2016,17565.465,17618.581,17896.623
4/1/2016,17618.581,17724.489,17996.802
7/1/2016,17724.489,17812.56,18126.226
10/1/2016,17812.56,17896.623,18296.685
1/1/2017,17896.623,17996.802,18436.262
4/1/2017,17996.802,18126.226,18590.004
7/1/2017,18126.226,18296.685,18679.599
10/1/2017,18296.685,18436.262,18721.281
1/1/2018,18436.262,18590.004,18833.195
4/1/2018,18590.004,18679.599,18982.528
7/1/2018,18679.599,18721.281,19112.653
10/1/2018,18721.281,18833.195,19202.31
1/1/2019,18833.195,18982.528,18951.992
4/1/2019,18982.528,19112.653,17258.205
7/1/2019,19112.653,19202.31,18560.774
10/1/2019,19202.31,18951.992,18767.778
1/1/2020,18951.992,17258.205,19055.655
4/1/2020,17258.205,18560.774,19368.31
7/1/2020,18560.774,18767.778,19465.195
10/1/2020,18767.778,19055.655,0
1/1/2021,19055.655,19368.31,0
4/1/2021,19368.31,19465.195,0
7/1/2021,19465.195,0,0
